,,Gov Id,T1 Diff,T2 Diff,T3 Diff,T4 Diff,T5 Diff,Deads,Formula
308,Phorak,11328321,18459,16593,7035,1557299,1545464,439095,7282797
468,Yavuz EVIL,37112672,23060,3487,1861,1972308,1915231,228223,7172108
7,ABØ AŁ HASSAN,63896422,6359,582,275,1819532,1745547,309156,7165562
249,MUshO,12971051,87954,33308,17241,1233997,1364977,529202,7139163
412,SiDji ᶤᶺ,83310067,33017,7200,17219,1772057,1525901,364754,7012383
587,暗 Moises P,17376374,1746,19668,2,1747245,1430119,396862,6988655
472,Zea OG,52710496,79155,20193,25068,1104887,1048153,629542,6978445
215,LITTLE Jon,63573884,26259,39021,31068,963588,1440678,521162,6971916
586,愛麗絲Alíce,95560188,47196,0,36931,1971879,990318,483969,6856329
304,PR㋛LETAR,35224446,38445,56660,11897,961796,1647569,430122,6837666
366,Sapper88,37773820,186702,43379,24735,2052094,1103250,419034,6772798
398,Shadowofnite,64023189,7717,14886,0,819641,1332676,544500,6751993
6,A7X fold,63900101,26626,215,28,715192,1141114,624533,6744618
318,Legendᴷᵒˢ,16272006,42543,5459,7978,1777525,1344897,379497,6744301
471,Z theFarmer,57177740,2955,63,488,985689,1732817,376160,6708283
71,CRAZY HAPIT,61918448,240390,112966,62283,2144645,919099,449708,6681091
2,1P FOX,52435883,8653,773,0,725414,1513754,481841,6643968
320,M3llow Plydz,61498739,22340,29167,225,839931,1001392,630235,6624125
505,shadow 0805,63080564,8537,2865,2340,1164152,961055,568886,6499578
91,Craneokid,96219972,611,0,5,828384,1113547,557663,6401456
84,ChongChong84,62189019,381026,63610,201916,1631048,970931,465339,6364944
590,暗 Winter,16908012,643,3596,0,1722168,1346191,324664,6362534
183,Imperator Venum,81744680,23238,3882,79,858601,860797,628205,6349425
528,ʟaᴜʀa ᴏɢ,80449273,11515,7332,2590,1201982,1582663,328459,6338062
576,义Pillow义,96569933,442690,28674,140047,1178371,1745844,256838,6211087
469,YouGotCrabs,12182229,14354,45928,12215,1754853,1397920,274536,6197909
510,toops405,63733625,175450,34583,24233,1110662,1288260,415018,6177290
111,Duᶜᵏ Peachy,10882519,29712,9628,72951,1197223,1262496,406325,6160165
191,Fr소nchy,16028895,49892,25544,1870,1867822,1037402,355378,6074894
158,GÃËTØŪ,81750678,283676,3229,3108,1437010,1056885,416742,6051232
402,KinG 2020,67180833,3608,3578,1821,1084954,1377586,350887,5945448
206,KinSy,60296881,47412,8845,3238,1323921,1466895,275695,5911881
162,HarukoHanada,62326004,32087,89150,69789,864250,1085520,478933,5908888
220,Lazy Dark,61954227,30323,3390,3931,676655,1045817,521022,5894421
322,Pooty Slayer,75767119,6,0,0,1081927,1229238,386286,5858119
352,Ringo X,63894724,3595,12,193,1257495,1113496,390142,5825339
295,PERSAIN,11904784,0,0,0,565325,1691588,305087,5779023
460,WomBort,17736681,14749,2068,0,1673557,2032210,3674,5760021
551,ᵛⁿMr Crab,52130105,75003,3566,9458,2397199,973284,235468,5756575
392,AlfatherKrawaTR,29216170,32966,68380,59656,1237633,786559,479496,5687727
44,Beast Eicosoco,39418334,33825,342,0,551861,976371,529249,5680097
11,AbbyRigg Hèró,1616635,11996,0,345,1225565,1820517,134555,5673929
556,ッDBッ,95681780,23845,517,711,2607743,1227017,101802,5672589
523,Đumoƞt,37765024,1082971,278216,8812,2212225,1007247,230996,5612695
233,Lego Batman,62935309,148,0,0,1226240,1835566,119061,5611738
247,M3llowMabrock x,63811771,494867,55631,9319,2311375,964444,224239,5585697
13,Ahmad 81,53474171,1,0,0,1283547,1462404,223878,5551623
502,o POMPEY o,73901502,15121,85,81,1066102,1232415,335572,5544364
17,AlphaOmegA,11915882,122301,11020,7357,1420783,1420225,199071,5455659
276,Míck Dundee,91393098,62711,16146,19431,818066,1057765,417545,5438866
199,Jœÿ,30421620,7335,1910,156,1062588,1877885,100723,5422696
313,WO SpiderSam,56558968,7778,9306,57059,2399963,867341,213781,5417331
282,Nemesis523,63860398,143108,1249,0,762095,1690346,209013,5396865
31,BDGㅊHridxᴿⱽ,62756828,39954,11684,2098,576436,684258,569645,5362822
593,SI OPTIMUM PRED,70132784,9149,2301,4551,1117479,775989,444582,5336949
99,Danrif 冬,53702653,28649,111,403,1345103,1027374,311775,5270501
573,义Galatian义,67184899,34504,17612,8093,679333,889626,458603,5210203
512,vɪcᴛoʀɪᴀ,40541417,13016,4290,292,781842,1190174,340208,5203438
461,XNXX IND jowo,61932165,36584,17116,14655,1458782,606372,417086,5174042
190,Jackncoke,6017556,26875,9903,374,642308,1067616,395727,5151902
200,Mr Lonely Kaoz,95678089,9,0,1049,1586660,1691787,28625,5141984
157,Guan Chau OG,61178797,68280,184,409,537768,414400,625166,5117564
416,SlickRiick,73399169,9054,0,0,1492712,1506005,99885,5104032
259,MetteHit,79910580,44058,17805,25372,797883,765352,447686,5014703
405,ARGOBEL,64905605,0,1382,2562,436555,494739,584634,4933837
331,Queen Terrible,69765691,15911,2755,2299,473599,802343,474158,4923233
