,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills,Kill Points_diff,T1 Kills_diff,T2 Kills_diff,T3 Kills_diff,T4 Kills_diff,T5 Kills_diff,RSS Assistance_diff,Dead Troops_diff
1415,1415,5559,2021-12-29,King Røar,King Roar,42659448,#N/A,32552804.0,625496,39244891,380167,289,3785,241176,79,0,22215,1089218,2505091.0,0.0,-5000000.0,-50000.0,-50000.0,-2000000.0,-771990.0,-5032093478.0,0.0
1425,1425,2834,2021-12-02,slanter,slanter,43110892,RA38,80663810.0,157911931,2013748123,4204377,5172226,4198634,90096562,54240132,0,149087,8704865,2013748123.0,0.0,0.0,0.0,0.0,0.0,0.0,-5102131492.0,0.0
1458,1458,5574,2021-12-29,LORDOFDRAGONS,LORDOFDRAGONS,43893200,OGFa,39017465.0,966300,22995383,63618,1760,53545,847298,79,1886862692,10363,2143407,8704983.0,0.0,-200000.0,-300000.0,-100000.0,-1000000.0,-162520.0,0.0,0.0
1494,1494,2632,2021-12-02,Slayer X NOBITA,Slayer X NOBITA,45486740,RX38,42971871.0,26266395,115582881,15397365,518649,763955,8331823,1254603,0,0,0,115582881.0,0.0,0.0,0.0,0.0,0.0,0.0,-160522777.0,-4088237.0
1592,1592,5500,2021-12-29,Hoa Queen,Hoa Queen,49219204,RP38,38926969.0,32522344,86940078,26084394,588940,375670,3042416,2430924,0,21677,5529873,86940078.0,7468510.0,1.0,0.0,0.0,206075.0,270388.0,-4191929687.0,0.0
1603,1603,4951,2021-12-14,Suga 旬,Suga 旬,49911535,RR38,77434891.0,8479806,955666424,6682,166934,52830,8250420,2940,1005341496,66380,4994465,83109524.0,60264260.0,-1000000.0,-2000000.0,-900000.0,-38550790.0,-20949237.0,0.0,59.0
1608,1608,3995,2021-12-09,황신원 of Roseee,황신원 of Roseee,49964501,RO3E,39704618.0,8071826,76441293,618749,929621,5917830,605626,0,4061127743,12407,2835580,31710571.0,0.0,-353707.0,310872.0,4988209.0,-5312204.0,-605626.0,2955000000.0,0.0
1609,1609,5235,2021-12-14,황신원 of Roseee,황신원 of Roseee,49964501,RO3E,39832618.0,9044282,76441293,972456,618749,929621,5917830,605626,4361127743,12419,2835580,76441293.0,0.0,353707.0,-310872.0,-4988209.0,5312204.0,605626.0,300000000.0,0.0
1626,1626,4314,2021-12-14,Bigboybobo,Bigboybobo,50653451,RA38,81542384.0,4196481,956511984,238922,255699,773243,2927427,1190,5155512510,13215,3574228,32950224.0,8731758.0,-4999991.0,-2000000.0,-3902586.0,-49687646.0,-19867160.0,50000001.0,4690.0
1666,1666,4457,2021-12-14,G A M   OG,G A M   OG,51304605,RA38,61735282.0,101588763,875854305,18923006,3089383,5154292,64316787,10105295,0,79628,4250400,875854305.0,38737602.0,4780.0,2182.0,11013.0,1612069.0,1128377.0,-4455552278.0,35508.0
1699,1699,3919,2021-12-09,ᵛⁿMr Crab,ᵛⁿMr Crab,52130105,RP38,59087600.0,58503963,494226913,11236767,3368507,3023019,34436293,6439377,0,53770,6078900,494226913.0,0.0,0.0,0.0,0.0,0.0,0.0,-5879759278.0,0.0
1708,1708,4990,2021-12-14,VARTOLÒ,VARTOLO,52375803,RR38,58683139.0,9880738,570903681,51338,627561,27333,9174506,0,3197125196,64412,4643546,93119781.0,26770060.0,-6000000.0,-2000000.0,-2000000.0,-19213546.0,-12283919.0,0.0,98240.0
1714,1714,4276,2021-12-14,AssAssin A,AssAssin A,52419470,RA38,69770035.0,32872777,681206952,561882,813353,834015,8050537,22612990,3938632055,62327,5650937,537840312.0,24200788.0,-3000000.0,-980856.0,-4000000.0,-29394366.0,9666976.0,0.0,246.0
1715,1715,5278,2021-12-29,AssAssin A,AssAssin A,52419470,DK38,62120317.0,70486994,815161604,3627092,1816147,4852178,41243636,18947941,4068632055,66219,6660371,815161604.0,133954652.0,3065210.0,1002794.0,4018163.0,33193099.0,-3665049.0,130000000.0,1009434.0
1726,1726,4381,2021-12-14,DARK EVIL 亗,DARK EVIL 亗,52515492,RK38,61787153.0,4227840,732378530,1573523,365507,772793,1515890,127,7527631739,61376,4318900,19298330.0,41793000.0,-10000000.0,-3000000.0,-4000000.0,-49382382.0,-7673169.0,0.0,4638.0
1736,1736,2605,2021-12-02,Sir Rockzo,Sir Rockzo,52619890,RA38,85299113.0,48788913,-1781608984,2303262,3034252,599959,42851440,0,4412263706,129512,7399347,437443392.0,142860.0,-10000000.0,-10000000.0,-9000000.0,-100000000.0,-50888603.0,0.0,0.0
1738,1738,4865,2021-12-14,Sir Rockzo,Sir Rockzo,52619890,RR38,84212083.0,231692129,-1735411464,12311732,13038120,9603199,144217711,52521367,0,131201,7574855,2559555832.0,46197520.0,8470.0,3868.0,3240.0,1366271.0,1625621.0,-4412263706.0,175508.0
1768,1768,4486,2021-12-14,HatredCopter,HatredCopter,53410809,KotF,28401221.0,325063,4549430,7530,5554,6309,160182,145488,0,0,0,4549430.0,0.0,0.0,0.0,0.0,0.0,0.0,-5080798582.0,-2216895.0
1869,1869,4724,2021-12-14,Pand4Zinc 永,Pand4Zinc 永,54530345,RA38,66597606.0,12148587,1649734455,5194037,405203,840213,5707055,2079,2264212781,59456,3491048,62322195.0,17282737.0,-9999644.0,-1000000.0,-999586.0,-89304201.0,-33454462.0,0.0,2272.0
1944,1944,2388,2021-12-02,MBDB,MBDB,55587705,RX38,32313611.0,0,81358046,0,0,0,0,0,539319699,31048,3515122,0.0,0.0,-1954441.0,-377499.0,-827160.0,-5898500.0,-895926.0,0.0,0.0
2015,2015,2264,2021-12-02,HunterDemons,HunterDemons,56345194,RR38,67826676.0,19710967,1234793301,7435295,5183548,91359,6999773,992,4990046123,64220,6476972,82237161.0,212750.0,-40000000.0,-10000000.0,-10000000.0,-69978725.0,-19227807.0,0.0,0.0
2039,2039,3898,2021-12-09,ᴵᴺ Ahok OG,lᴺ Ahok OG,56911574,RK38,34312521.0,10015672,82937127,2228948,279615,338787,6278948,889374,0,0,0,82937127.0,0.0,0.0,0.0,0.0,0.0,0.0,-571665464.0,-2099944.0
2044,2044,2371,2021-12-02,M3llow Abdi1838,M3llow Abdi1838,57008215,Ri38,27641189.0,6873796,48393344,1096020,761069,1433203,3075089,508415,0,10141,1541131,48393344.0,0.0,0.0,0.0,0.0,0.0,0.0,-1193051255.0,0.0
