,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills
3104,3104,5667,2021-12-29,Mini MongD,Mini MongD,64873354,F380,30763619.0,125761,1118464,1,1939,20879,102777,165,0,4142,303607,1118464.0
3110,3110,5263,2021-12-29,Alischer,Alischer,6488711,Rt38,71762947.0,255696959,-1725262669,42576078,1980473,3311884,161258955,46569569,0,0,0,2569704627.0
3144,3144,4304,2021-12-14,Battle BEAST,Battle BEAST,65484538,RR38,58742645.0,119804375,1033326456,16205272,11000393,8437734,70888584,13272392,0,70072,3176003,1033326456.0
3182,3182,2549,2021-12-02,RichCupcake,RichCupcake,66006431,#N/A,35562049.0,782297,9821860,14050,9368,19256,506917,232706,0,9963,736980,9821860.0
3183,3183,3564,2021-12-09,RichCupcake,RichCupcake,66006431,Rt38,35890229.0,782297,9821860,14050,9368,19256,506917,232706,0,10074,736980,9821860.0
3184,3184,4808,2021-12-14,RichCupcake,RichCupcake,66006431,Rt38,35775485.0,864429,10706370,14050,9368,19256,582730,239025,0,10137,850023,10706370.0
3187,3187,682,2021-11-22,Tim Tuga,Tim Tuga,66055533,Rt38,29082772.0,412954,3962358,2540,10305,9975,390134,0,3855377827,4976,67869,3962358.0
3188,3188,2710,2021-12-02,Tim Tuga,Tim Tuga,66055533,Rt38,29316374.0,412954,3962358,2540,10305,9975,390134,0,3855377827,5147,67869,3962358.0
3189,3189,3727,2021-12-09,Tim Tuga,Tim Tuga,66055533,Rt38,29394474.0,412954,3962358,2540,10305,9975,390134,0,3855377827,5171,67869,3962358.0
3190,3190,4974,2021-12-14,Tim Tuga,Tim Tuga,66055533,F38!,29516874.0,412954,3962358,2540,10305,9975,390134,0,3855377827,5197,67869,3962358.0
3191,3191,5338,2021-12-29,Bye Tuga Farm,Bye Tuga Farm,66055533,RM38,29968430.0,412954,3962358,2540,10305,9975,390134,0,4791633642,5273,67869,3962358.0
3192,3192,1097,2022-01-01,Bye Tuga Farm,Bye Tuga Farm,66055533,RM38,30039830.0,412954,3962358,2540,10305,9975,390134,0,4791633642,5293,67869,3962358.0
3269,3269,370,2021-11-22,LaserCannondeth,LaserCannondeth,66506925,KotF,25588466.0,22705,316590,0,0,0,13751,8954,3533120906,2249,0,316590.0
3270,3270,2333,2021-12-02,LaserCannondeth,LaserCannondeth,66506925,KotF,25915447.0,22705,316590,0,0,0,13751,8954,3748648019,2279,0,316590.0
3271,3271,3333,2021-12-09,LaserCannondeth,LaserCannondeth,66506925,KotF,26117803.0,22705,316590,0,0,0,13751,8954,3748648019,2300,0,316590.0
3272,3272,4574,2021-12-14,LaserCannondeth,LaserCannondeth,66506925,KotF,26406011.0,22705,316590,0,0,0,13751,8954,4154342550,2317,0,316590.0
3273,3273,5583,2021-12-29,LaserCannondeth,LaserCannondeth,66506925,KotF,27156184.0,23013,319670,0,0,0,14059,8954,4154342550,2358,0,319670.0
3274,3274,1348,2022-01-01,LaserCannondeth,LaserCannondeth,66506925,KotF,27208984.0,1405,319670,0,0,0,14059,8954,4154342550,2364,0,319670.0
3300,3300,2613,2021-12-02,Slayer Prëtty,Slayer Pretty,66903398,RX38,37171584.0,23601370,72233573,15428375,1605739,1147710,4704534,715012,0,0,0,72233573.0
3311,3311,4234,2021-12-09,亗㋡PirateSTEVE,亗㋡PirateSTEVE,67069422,Rt38,19954632.0,309509,2656548,18421,10055,29596,251437,0,1459830335,5391,295503,2656548.0
3368,3368,3956,2021-12-09,义Galatian义,义Galatian义,67184899,RK38,50599231.0,23008000,155526547,9240227,1025111,1084820,8586784,3071058,0,61896,1791169,155526547.0
