,Governor ID,Name,KVK contrib,Ranking
825,81439535,LOKI123,6027845.0,413
571,66374084,M3llow Pe㋛rs,6006608.0,414
80,17736681,WomBort,5960674.0,415
396,59151829,Yura09 OG,5938382.0,416
579,66802116,SlayerˣBoy,5899670.0,417
6,10621502,Ｓｌoｔｈ,5895651.0,418
47,15570213,Laffty,5890993.0,419
22,12168629,OnlyFuzZ,5875608.0,420
685,73925214,KhaLᴇᴇsí,5807098.0,421
1218,96547985,〤Amskit〤,5792349.0,422
884,84468452,Dr Bruce,5787550.0,423
513,63811771,M3llowMabrock x,5758755.0,424
300,52130105,ᵛⁿMr Crab,5756575.0,425
647,70654401,ʷʷ Hoshi,5749788.0,426
425,61086085,Pirate Baio,5722880.0,427
1087,96130941,virus dz,5681367.0,428
892,84483508,511 pirate,5659490.0,429
628,69584739,Death Z7o55,5652703.0,430
110,21464563,SirKage,5622883.0,431
1044,95678089,KAOZ the FVCKER,5556595.0,432
954,88203498,ᴹʳ ŦǤØ,5532654.0,433
84,17780812,Traxxxx,5520235.0,434
487,63469420,lady talia,5489692.0,435
675,73399169,SlicckRiick,5473457.0,436
661,71406414,Kraken Paris,5458923.0,437
163,30316476,Big Daddy BaBa,5449620.0,438
164,30421620,Jœÿ Dealer,5422696.0,439
358,56558968,Pirate SamKtr41,5417331.0,440
515,63860398,Nemesis523,5396865.0,441
261,44665294,COBIN,5333862.0,442
798,80187532,AtticusWiggleBs,5253043.0,443
1055,95681157,Mr Ǥuss,5185413.0,444
1149,96242448,Gilded Goat,5162580.0,445
427,61178797,Guan Chau OG,5158514.0,446
168,31074420,iKingRagnar,5146872.0,447
791,79910580,MetteHit,5113422.0,448
548,64905605,SlayerXARGOBEL,5101726.0,449
1081,96119113,Aɢɴɪ,5080959.0,450
877,84118914,ᴳᵂKzadé 왕자,5080176.0,451
502,63627672,XyouX,5028638.0,452
179,33876264,Bigstone,4922281.0,453
1183,96265564,M3llow Quinton,4918602.0,454
295,51380796,QuicheeeX,4870600.0,455
585,67116818,Novalk ALL,4851377.0,456
419,60334815,Harutya OG,4827390.0,457
992,92000528,G U E V A R Aツ,4796799.0,458
780,79444007,CANİK TR,4793594.0,459
799,80207342,WaterM3llow,4781833.0,460
408,59967543,自由ㅅ 自在,4762023.0,461
856,83526855,Zãnøagã,4756743.0,462
790,79884545,PirateBootstrap,4754159.0,463
495,63575767,Bye Tuga,4724369.0,464
584,67074469,Bamboo ALL,4715347.0,465
504,63686087,bArBaBiAnCa,4709535.0,466
599,67609112,EKSESô,4703500.0,467
596,67246450,WIN CôngĐạt,4689806.0,468
590,67147404,JealousSs,4672390.0,469
1221,96558455,ßRÈÈŽŸ,4668150.0,470
944,86883323,Pirates AbuZaki,4639235.0,471
640,70130949,ᴰᴰBlackHawk,4590711.0,472
580,66817290,Legend SabaT,4577567.0,473
581,66903398,Slayer Prëtty,4564919.0,474
569,66337757,338 Win kvk,4523809.0,475
484,63375965,Pirate Adjie,4509076.0,476
612,68605432,PREDATOŔ,4455288.0,477
717,76112824,Cim Cimeterium,4452866.0,478
432,61834122,RV EMONᴮᴰ,4428668.0,479
454,62351996,Pirate Nanaメ,4418785.0,480
948,87615855,VR Sage,4381504.0,481
1139,96234720,BloodViking57,4369880.0,482
862,83571282,SlayerₓFiSt0,4328848.0,483
1039,95677201,Small Snow,4306123.0,484
167,3094944,Mve,4280020.0,485
817,80727532,M3llow Orphic,4269458.0,486
12,11075518,The Clownfish,4251994.0,487
911,84998606,Lemonちゃん,4245949.0,488
996,9322230,ᴹᴰjrwn,4230828.0,489
1103,96191862,ExileANt,4229847.0,490
1053,95680750,ᴄᴏʀᴘsᴇ,4229802.0,491
758,77846662,Wings of rss,4206215.0,492
1241,97061961,I AM STIK,4195809.0,493
720,76158410,RJMB,4136544.0,494
642,70189040,SLAYERDanny,4133766.0,495
351,56084361,Seon deok,4117926.0,496
868,83681926,FREEZEDOM,4109756.0,497
660,71366499,HarryPoTHeaD420,4109042.0,498
228,39693303,ʇuɐɥɔɹǝW,4108234.0,499
1017,95629433,LiarsV,4100553.0,500
574,66466622,义Sala义,4090378.0,501
690,74357168,仒 Changretta,4064503.0,502
1126,96215472,义 LKW 义,4063377.0,503
883,84457284,Doctor Magu,4000651.0,504
637,69972191,August ᴰᴷ,3989363.0,505
59,16353531,ItsAki II,3967395.0,506
633,69847791,Simontx OG,3915466.0,507
616,68715283,Fatima Az zahra,3908664.0,508
296,51415089,lord Sitrix,3908327.0,509
560,65935461,EVillord,3880357.0,510
362,57008215,M3llow Abdi1838,3855446.0,511
368,57403982,SlayerˣDASH,3854033.0,512
847,83303668,Slayer XTogepik,3841383.0,513
1267,97465809,M3llow Row,3831896.0,514
879,84422173,Cr3epsReborn,3824252.0,515
922,85506145,césar le bon,3768284.0,516
934,86108244,Sułtąnąツ,3757912.0,517
582,67058811,bioruben,3755423.0,518
654,71064808,Loard2002 OG,3751804.0,519
380,58359807,RC STING,3714248.0,520
802,80244425,TheDANdaLoRiaN,3646276.0,521
424,61069638,Edd Teague 37,3640419.0,522
338,55179400,Slayer X Lexa,3634070.0,523
567,66284657,亗Pirate Lee,3632383.0,524
1235,96653681,Slayer Kowalski,3627165.0,525
725,76218861,Lykth,3613421.0,526
255,43366078,slayerxoeschapa,3610383.0,527
493,63572648,PIRATE BALAZS,3607110.0,528
325,53938211,Slayer GX,3572529.0,529
23,12168880,Taco Banderas,3545968.0,530
229,39750664,义pirate Cange,3534872.0,531
644,70218713,x   Z I O N   x,3499054.0,532
759,77930129,PT PTT  ジ,3496213.0,533
970,90184186,D U N K E R,3487310.0,534
1052,95680616,ɪɴsᴀɴᴇ,3469366.0,535
444,62017877,SHAFINᴿⱽ,3460114.0,536
94,19626853,Legend CöCö,3425489.0,537
51,15856222,I Am NoTTeA,3416245.0,538
933,86002978,Ali Gátor,3411781.0,539
506,63720400,Guam81,3389231.0,540
201,37421375,Slayer X Zi,3362988.0,541
904,84895741,LUKMANHAKIM,3357201.0,542
785,79774474,NjörD,3310513.0,543
1197,96294305,QasehManje,3305417.0,544
993,92123052,DaCura,3255478.0,545
713,76025975,SlayerXNoble,3229065.0,546
869,83714282,Slayer Xenicus,3226365.0,547
482,63286295,ᶦᶰᵈカラス,3202807.0,548
1140,96237983,SlayerVannalla,3195348.0,549
1273,97822225,SlayerˣØrney,3191457.0,550
557,65750039,Seed420,3153703.0,551
694,74919143,Flintチだ院,3152484.0,552
983,91384301,HaeSoö,3146048.0,553
1050,95679756,Anbu Charlotte,3136968.0,554
876,84087218,Slayer 乂 Dext,3103529.0,555
830,81744337,DeadZēd,3097829.0,556
1271,9771821,Louylou,3068372.0,557
