,Governor ID,Name,Ranking,Power,PreKVK Power,KVK Contrib,Scaler_Down,Scaled Score
185,62608777,Kira Kira Arina,151,64403589.0,64375392.0,16599765.0,,16599765.0
500,68399761,Jurabige,184,37341014.0,38075054.0,14234414.0,1.1650939943084284,16584430.263899814
175,21998284,Legend Kobe,152,64176499.0,66888814.0,16544668.004,,16544668.004
213,76851235,Spаniard,153,62048562.0,61239297.0,16534222.0,,16534222.0
266,70209602,MaddKING Ragnar,154,53904694.0,55141555.0,16422047.252,,16422047.252
202,39637709,FHK HellAngel,156,66397827.0,62437098.0,16323959.0,,16323959.0
520,76251114,small big boy,187,40159505.0,37219722.0,14146442.252,1.1472564786964834,16229597.524112672
716,80644934,Pirate Thorine,227,29898755.0,30876781.0,12137084.912,1.3361333974313254,16216764.49838304
128,34054731,RoҜメMACHINEメ,157,71535651.0,72380828.0,16206637.0,,16206637.0
262,63453000,Lazy DUST,158,59118162.0,55452885.0,16180914.0,,16180914.0
196,54530345,4Zinc 永,159,62977135.0,62878686.0,16116388.0,,16116388.0
288,96257100,BlēsT,160,61905870.0,51036306.0,16086681.0,,16086681.0
158,59171934,DesaSasarean OG,161,69432909.0,68679824.0,16044000.0,,16044000.0
241,65527076,Liusen,162,59261143.0,58014142.0,16030541.088,,16030541.088
221,55851284,Mr Kaoz,163,60965970.0,60512822.0,15994528.0,,15994528.0
540,81263107,Cimeng OG,204,35951430.0,36300082.0,13327924.0,1.196138047788633,15942036.994435268
114,53459290,Qitiandsheng永,165,72266968.0,74034082.0,15880424.0,,15880424.0
448,70015615,ICHIGO OG,189,40086111.0,41005804.0,14125848.008,1.116246568319307,15767929.363530118
306,76122309,Dèvalish,167,52325367.0,49337841.0,15663275.104,0.9938325709689535,15663275.104
274,64525422,BDGㅊALVINᴿⱽ,168,56706064.0,54424618.0,15607791.0,,15607791.0
729,83297380,SlayerQueenCali,246,28586678.0,30325987.0,11418406.0,1.3633718375152923,15567533.16971564
388,76195639,IJOMI OG,176,48828458.0,43874500.0,14950471.0,1.0385029468686924,15526108.190574925
298,67202956,Jäzzmine,169,53099102.0,50252628.0,15490160.0,,15490160.0
268,90190464,ᴬᵂMalek,170,58926365.0,55014877.0,15433874.0,,15433874.0
33,25531562,Syaorân Li,171,82910162.0,87322526.0,15389681.0,,15389681.0
47,53562053,Daduck,172,76018226.0,83540434.0,15240796.0,,15240796.0
289,63122485,Emhily,173,49893700.0,50935814.0,15223360.0,,15223360.0
68,21463108,GangstaAza DGAF,174,81831287.0,80029401.0,15145331.0,,15145331.0
224,39412545,CIMO,175,58293234.0,59361719.0,15090049.0,,15090049.0
663,69090210,Slēep,241,32098354.0,32796854.0,11720633.004,1.280538716367161,15008724.341952745
575,81742039,乂T E F K A乂,217,40835897.0,35194487.0,12804276.0,1.159399547821785,14845271.804585332
398,68599021,No Zig For You,192,45296895.0,43174364.0,13914300.0,1.0638519822690333,14802755.63688601
464,67980415,Erwinlim,211,40797412.0,40284717.0,13110582.0,1.1163238882772784,14635655.875818096
62,64177151,Dia X YB,178,85358554.0,81212923.0,14620462.004,,14620462.004
643,83956095,Kyłe,236,36048155.0,33544909.0,11932226.275999999,1.224567518923306,14611816.7260328
25,20843787,暗 SeroS 戰,179,90044749.0,90273754.0,14573427.0,,14573427.0
487,68694772,nguyennopro,239,31091624.0,38955818.0,11889710.0,1.2195490043436514,14500083.992434755
92,43110892,slanter,180,79052304.0,76041110.0,14422881.0,,14422881.0
34,52663991,Sgt Muerte,181,87301504.0,86714874.0,14414123.0,,14414123.0
