Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,,,
2021-11-23,mustachride,mustachride,11749129,RP38,80108504,"103,722,284","1,163,759,673","6,608,668","2,999,674","5,505,518","63,775,196","24,833,228","2,249,898,866","111,846","9,513,800",1163759673.6,-0.599999904632568,FALSE
2021-11-23,Azalynz DG AF,Azalynz DG AF,21463108,RK38,80029401,"57,676,386","749,268,149","1,081,577","1,538,604","1,135,609","33,697,973","20,222,623","11,309,486,899","221,673","7,985,918",749268149.4,-0.399999976158142,FALSE
2021-11-23,Flexÿ,Flexy,63955350,RA38,79584250,"121,152,961","1,337,244,459","3,743,535","10,617,655","5,765,413","72,832,837","28,193,521","2,235,004,531","78,620","10,353,802",1337244459,0,FALSE
2021-11-23,Big Piens Shake,Big Piens Shake,11694371,RA38,79279011,"182,555,699","2,089,343,625","7,238,728","5,234,554","8,808,133","118,329,144","42,945,140","2,782,728,843","30,894","7,702,878",2089343625.6,-0.599999904632568,FALSE
2021-11-23,mustachride,mustachride,11749129,RP38,79209886,"103,722,284","1,163,759,673","6,608,668","2,999,674","5,505,518","63,775,196","24,833,228","2,249,898,866","111,728","9,513,800",1163759673.6,-0.599999904632568,FALSE
2021-11-23,FlammA,FlammA,57141256,RA38,79160201,"67,763,333","972,686,265","774,746","377,663","365,995","35,458,657","30,786,272","3,441,950,845","100,515","4,678,464",972686265.2,-0.200000047683716,FALSE
2021-11-23,义Headhuntr义,义Headhuntr义,1080643,F38Y,79043167,"99,581,438","908,198,704","27,673,500","1,408,646","3,255,058","45,805,820","21,438,414","8,872,520,340","71,670","11,169,629",908198704,0,FALSE
2021-11-23,bigstone,bigstone,33876264,RA38,78883518,"29,899,019","387,277,744","1,191,731","460,702","387,971","17,260,619","10,597,996","7,310,883,823","106,395","6,533,232",387277744.2,-0.199999988079071,FALSE
2021-11-23,TwoFacedMox,TwoFacedMox,64115009,RA38,78855608,"275,255,336","2,757,905,805","38,919,036","14,011,794","17,701,580","144,116,643","60,506,283","5,814,375,688","87,702","8,164,542",2757905805.2,-0.199999809265137,FALSE
2021-11-23,MyBubbles,MyBubbles,17875970,RA38,78760507,"132,345,656","1,600,221,718","14,985,570","819,463","871,927","72,127,595","43,541,101","1,901,726,649","120,586","8,321,463",1600221718,0,FALSE
2021-11-23,RED SnappER,RED SnappER,64237899,RA38,78682590,"104,660,759","1,197,259,183","20,518,979","1,165,400","496,132","46,076,490","36,403,758","2,336,418,607","107,002","5,097,878",1197259183.8,-0.799999952316284,FALSE
2021-11-23,Barbosah,Barbosah,53734445,RA38,78606358,"149,735,522","1,456,827,508","13,684,261","10,232,831","10,643,061","91,245,463","23,929,906","732,703,098","49,374","9,076,466",1456827508.2,-0.200000047683716,FALSE
2021-11-23,Twiceborn two,Twiceborn two,26291665,RA38,78516484,"46,825,248","503,678,938","5,131,763","1,761,658","1,641,560","27,324,231","10,966,036","2,095,768,435","55,987","3,762,815",503678938.6,-0.600000023841858,FALSE
2021-11-23,diR,diR,37239310,RR38,78515145,"156,035,720","1,690,709,808","12,597,074","7,648,701","7,458,373","92,357,194","35,974,378","6,691,364,958","60,507","7,048,294",1690709808.8,-0.799999952316284,FALSE
2021-11-23,父 Crystal 父,父 Crystal 父,28618527,RK38,78434717,"97,008,277","1,315,054,820","4,397,994","209,584","541,746","52,558,999","39,299,954","4,437,129,360","125,969","4,958,919",1315054820.8,-0.799999952316284,FALSE
2021-11-23,Fiona SMASH,Fiona SMASH,42467519,RA38,78412902,"104,983,469","1,353,783,017","2,783,836","1,744,594","2,176,298","62,454,295","35,824,446","6,185,777,869","78,528","7,623,381",1353783017.2,-0.200000047683716,FALSE
2021-11-23,moon4lite,moon4lite,20379195,RK38,78040337,"129,089,808","1,438,559,797","16,772,728","2,491,195","3,033,388","71,776,063","35,016,434","2,059,616,866","123,872","6,903,525",1438559797.6,-0.599999904632568,FALSE
2021-11-23,Test Knight,Test Knight,52618268,RA38,77821338,"111,865,759","1,247,054,800","9,295,804","3,855,159","2,227,218","70,117,511","26,370,067","2,059,150,329","91,739","7,647,946",1247054800.8,-0.799999952316284,FALSE
2021-11-23,RichKupo,RichKupo,64309507,RA38,77747119,"95,680,922","836,131,464","25,597,072","3,663,409","1,787,378","47,612,554","17,020,509","3,664,110,165","65,330","5,600,936",836131464.4,-0.399999976158142,FALSE
2021-11-23,Dårth Invader,Darth Invader,41086563,RR38,77535028,"192,660,708","1,647,812,742","26,716,653","23,858,498","13,295,629","103,422,866","25,367,062","7,641,474,807","19,052","14,311,067",1647812742.6,-0.599999904632568,FALSE
2021-11-23,Royal Gazza,Royal Gazza,46678919,RP38,77431792,"106,504,440","1,409,024,316","1,667,213","1,124,806","1,300,723","64,699,559","37,712,139","1,909,055,903","115,660","7,911,597",1409024316.6,-0.599999904632568,FALSE
2021-11-23,Blue 义 Balls,Blue 义 Balls,50653451,RA38,77202445,"84,474,621","944,524,593","5,230,906","2,255,699","4,665,161","52,615,073","19,707,782","4,840,512,509","12,579","3,569,538",944524593.2,-0.200000047683716,FALSE
