,Governor ID,Name,Ranking,Power,KVK Contrib,PS1,PS2
610,85880212,N A I F 个,703,37159509.0,1350280.0,5452602.770129567,5452602.770129625
662,61647508,Oddᵗᵘᵍᵃ,704,32707454.0,1346584.0,4164831.6862296606,4164831.6862296415
851,82428994,sᴿ Mentum,705,30533649.0,1336499.0,3582846.730222213,3582846.7302221474
823,70821752,Dybala junior,706,25708264.0,1325503.0,2410821.582579253,2410821.582579063
641,79607276,Slayer X Erica,707,36690487.0,1321698.0,5311168.540073236,5311168.540073287
1207,96238368,M3llow Blawb,708,20829793.0,1301712.0,1408632.0424182098,1408632.0424178597
874,96244148,Jagermiester,709,26360242.0,1250034.0,2559070.1773387385,2559070.177338568
354,97102262,Small SupDup,710,49557902.0,1246136.0,9613532.725356972,9613532.725357128
726,83318918,Slayer aBo Rwan,711,33879083.0,1244495.0,4491578.899719235,4491578.899719237
653,96055460,M3llow Poro,712,36585914.0,1242987.0,5279813.51939765,5279813.5193977
667,16519446,THUG  القرم,713,37416915.0,1235612.0,5530778.188225519,5530778.18822558
1030,96593085,M3llow TNT,714,28247343.0,1220121.0,3006252.2823198484,3006252.2823197288
701,84899781,LUKMAN CAVA,715,34157089.0,1202350.0,4570415.712277249,4570415.71227726
112,96196248,Dotsawnt,716,79026717.0,1200168.0,21400167.387837324,21400167.38783728
886,82052885,Pirate Kyy,717,28555328.0,1198858.0,3081736.467142176,3081736.467142065
542,46217069,Khaled Ben Wali,718,36888668.0,1165183.0,5370770.440814842,5370770.4408148965
